输入商品名称,匹配的SPU,匹配的SKU,期望值
荣耀畅玩70Plus 5G(LOG-AN00)12+512幻夜黑,-,-,荣耀畅玩70 Plus 全网通5G 12GB+512GB 幻夜黑
荣耀畅玩70Plus 5G(LOG-AN00)12+512晓山青,-,-,荣耀畅玩70 Plus 全网通5G 12GB+512GB 晓山青
华为mateXT 三折叠(GRL-AL10)16+512演示机玄黑+冰霜银,-,-,华为 Mate XT 非凡大师  全网通版 16GB+512GB 玄黑
2025款华为MateBook14(FLMH-32) InteUltra5-125H(32+1T) Linux皓月银,-,-,华为 MateBook 14 2025款 Linux版  14英寸 Ultra 5-125H 32G 1TB固态 集显 触屏版 深空灰
2023款华为Matebook E DRR-W76 I7-1260U 16+512演示机雪域白+雪域白,-,-,华为 MateBook E DRR-W76 Intel i7 Win11 16GB+512GB 雪域白/雪域白键盘
荣耀Magic6Pro 5G(BVL-AN16)12+256G流云紫,荣耀 Magic6 Pro 原装 皮革支架保护壳,荣耀 Magic6 Pro 原装 皮革支架保护壳 紫色,荣耀Magic6 Pro 全网通5G版 12GB+256GB 流云紫
荣耀Magic7Pro 5G(PTP-AN10)16+512G月影灰,荣耀Magic7 Pro 皮革保护壳,-,荣耀Magic7 Pro 全网通5G 16GB+512GB  月影灰
荣耀Magic7Pro 5G(PTP-AN10)16+512G绒黑色,荣耀Magic7 Pro 皮革保护壳,荣耀Magic7 Pro 皮革保护壳 黑色,荣耀Magic7 Pro 全网通5G 16GB+512GB 绒黑色
荣耀Magic7Pro 5G(PTP-AN10)16+512G天际蓝,荣耀Magic7 Pro 皮革保护壳,荣耀Magic7 Pro 皮革保护壳 蓝色,荣耀Magic7 Pro 全网通5G 16GB+512GB 天际蓝
荣耀Magic7Pro 5G(PTP-AN10)16+1T绒黑色,荣耀Magic7 Pro 皮革保护壳,荣耀Magic7 Pro 皮革保护壳 黑色,荣耀Magic7 Pro 全网通5G 16GB+1TB 绒黑色
荣耀Magic7Pro 5G(PTP-AN10)16+1T天际蓝,荣耀Magic7 Pro 皮革保护壳,荣耀Magic7 Pro 皮革保护壳 蓝色,荣耀Magic7 Pro 全网通5G 16GB+1TB 天际蓝
荣耀X70i(ABR-AN00)12+256绒黑色,荣耀X70i AI版,荣耀X70i AI版 全网通5G 12GB+256GB 绒黑色,荣耀X70i 全网通5G 12GB+256GB 绒黑色
荣耀X70i(ABR-AN00)12+256月影白,荣耀X70i AI版,荣耀X70i AI版 全网通5G 12GB+256GB 月影白,荣耀X70i 全网通5G 12GB+256GB 月影白
2022款华为Matebook E Go GK-G56 (高通骁龙8cx Gen 2) 16+512全网通演示机星云灰+星云灰,-,-,华为 MateBook E Go 骁龙8cx Gen2 16GB+512GB 星云灰键盘
荣耀X70i(ABR-AN00)12+256天海青,荣耀X70i AI版,荣耀X70i AI版 全网通5G 12GB+256GB 天海青,荣耀X70i 全网通5G 12GB+256GB 天海青
荣耀X70i(ABR-AN00)12+256玉兰紫,荣耀X70i AI版,荣耀X70i AI版 全网通5G 12GB+256GB 玉兰紫,荣耀X70i 全网通5G 12GB+256GB 玉兰紫
荣耀X70i(ABR-AN00)12+512天海青,荣耀X70i AI版,荣耀X70i AI版 全网通5G 12GB+512GB 天海青,荣耀X70i 全网通5G 12GB+512GB 天海青
荣耀X70i(ABR-AN00)12+512月影白,荣耀X70i AI版,荣耀X70i AI版 全网通5G 12GB+512GB 月影白,荣耀X70i 全网通5G 12GB+512GB 月影白
荣耀X70i(ABR-AN00)12+512玉兰紫,荣耀X70i AI版,荣耀X70i AI版 全网通5G 12GB+512GB 玉兰紫,荣耀X70i 全网通5G 12GB+512GB 玉兰紫
荣耀X70i(ABR-AN00)12+512绒黑色,荣耀X70i AI版,荣耀X70i AI版 全网通5G 12GB+512GB 绒黑色,荣耀X70i 全网通5G 12GB+512GB 绒黑色
荣耀X70(MTN-AN80)12+512竹韵青,荣耀X70,荣耀X70 全网通5G 12GB+512GB 竹韵青,荣耀X70 全网通5G 12GB+512GB 竹韵青
荣耀X70(MTN-AN80)12+512月影白,荣耀X70,荣耀X70 全网通5G 12GB+512GB 月影白,荣耀X70 全网通5G 12GB+512GB 月影白
荣耀X70(MTN-AN80)12+512幻夜黑,荣耀X70,荣耀X70 全网通5G 12GB+512GB 幻夜黑,荣耀X70 全网通5G 12GB+512GB 幻夜黑
荣耀X70(MTN-AN80)12+512朱砂红,荣耀X70,荣耀X70 全网通5G 12GB+512GB 朱砂红,荣耀X70 全网通5G 12GB+512GB 朱砂红
荣耀X70(MTN-AN80)12+256竹韵青,荣耀X70,荣耀X70 全网通5G 12GB+256GB 竹韵青,荣耀X70 全网通5G 12GB+256GB 竹韵青
荣耀X70(MTN-AN80)12+256幻夜黑,荣耀X70,荣耀X70 全网通5G 12GB+256GB 幻夜黑,荣耀X70 全网通5G 12GB+256GB 幻夜黑
荣耀X70(MTN-AN80)12+256朱砂红,荣耀X70,荣耀X70 全网通5G 12GB+256GB 朱砂红,荣耀X70 全网通5G 12GB+256GB 朱砂红
荣耀X70(MTN-AN80)12+256月影白,荣耀X70,荣耀X70 全网通5G 12GB+256GB 月影白,荣耀X70 全网通5G 12GB+256GB 月影白
荣耀400  DNN-ANOO 12+512G流沙粉,-,-,荣耀400 全网通5G 12GB+512GB 流沙粉
荣耀400  DNN-ANOO 16+512G流沙粉,-,-,荣耀400 全网通5G 16GB+512GB 流沙粉
荣耀400  DNN-ANOO 16+512G海风蓝,-,-,荣耀400 全网通5G 16GB+512GB 海风蓝
荣耀400  DNN-ANOO 16+512G揽月银,-,-,荣耀400 全网通5G 16GB+512GB 揽月银
荣耀400Pro DNP-AN00 12+512海风蓝,-,-,荣耀400 pro 全网通5G 12GB+512GB 海风蓝
荣耀400Pro DNP-AN00 16+512流沙粉,-,-,荣耀400 pro 全网通5G 16GB+512GB 流沙粉
荣耀400Pro DNP-AN00 16+512揽月银,-,-,荣耀400 pro 全网通5G 16GB+512GB 揽月银
荣耀400Pro DNP-AN00 16+1T幻夜黑,-,-,荣耀400 pro 全网通5G 16GB+1TB 幻夜黑
荣耀MagicV5 5G 16+512曙光金,-,-,荣耀Magic V5 全网通5G 16GB+512GB  曙光金
荣耀MagicV5 5G 16+1T绒黑色,-,-,荣耀Magic V5 全网通5G 16GB+1TB 绒黑色
荣耀Magic8Pro 5G(BKQ-AN10)16+512G雪域白,荣耀Magic8 Pro Air,荣耀Magic8 Pro Air 全网通5G 16GB+512GB 羽白,荣耀Magic8 Pro 全网通5G 16GB+512GB 雪域白
荣耀Magic8Pro 5G(BKQ-AN10)16+512G绒黑色,荣耀Magic8 Pro Air,荣耀Magic8 Pro Air 全网通5G 16GB+512GB 影黑,荣耀Magic8 Pro 全网通5G 16GB+512GB 绒黑色
荣耀Magic8 5G(BKQ-AN00)16+512G天青釉,荣耀Magic8 RSR 保时捷,荣耀Magic8 RSR 保时捷 全网通5G 16GB+512GB 板岩灰,荣耀Magic8 全网通5G 16GB+512GB 天青釉
荣耀Magic8 5G(BKQ-AN00)16+512G雪域白,荣耀Magic8 RSR 保时捷,荣耀Magic8 RSR 保时捷 全网通5G 16GB+512GB 板岩灰,荣耀Magic8 全网通5G 16GB+512GB 雪域白
荣耀Magic8 5G(BKQ-AN00)16+512G绒黑色,荣耀Magic8 RSR 保时捷,荣耀Magic8 RSR 保时捷 全网通5G 16GB+512GB 板岩灰,荣耀Magic8 全网通5G 16GB+512GB 绒黑色
荣耀500 MEY-ANOO 16+512G曜石黑,-,-,荣耀500 全网通5G 16GB+512GB 曜石黑
荣耀500 MEY-ANOO 16+512G海蓝宝,-,-,荣耀500 全网通5G 16GB+512GB 海蓝宝
荣耀500 MEY-ANOO 16+512G月光银,-,-,荣耀500 全网通5G 16GB+512GB 月光银
荣耀500 MEY-ANOO 16+512G星光粉,-,-,荣耀500 全网通5G 16GB+512GB 星光粉
荣耀500 MEY-ANOO 12+512G星光粉,-,-,荣耀500 全网通5G 12GB+512GB 星光粉
荣耀500 MEY-ANOO 12+512G月光银,-,-,荣耀500 全网通5G 12GB+512GB 月光银
荣耀500 MEY-ANOO 12+512G曜石黑,-,-,荣耀500 全网通5G 12GB+512GB 曜石黑
荣耀500 MEY-ANOO 12+512G海蓝宝,-,-,荣耀500 全网通5G 12GB+512GB 海蓝宝
荣耀500pro MEP-ANOO 12+512G星光粉,-,-,荣耀500 Pro 全网通5G 12GB+512GB 星光粉
荣耀500pro MEP-ANOO 16+512G月光银,-,-,荣耀500 Pro 全网通5G 16GB+512GB 月光银
荣耀500pro MEP-ANOO 16+512G海蓝宝,-,-,荣耀500 Pro 全网通5G 16GB+512GB 海蓝宝
IQOONeo10 5G(12+512)驰光白,-,-,iQOO Neo10 全网通5G 12GB+512GB 驰光白
IQOOZ10Turbo＋  5G(16+512)云海白,-,-,IQOO Z10 Turbo+ 全网通5G 16GB+512GB 云海白
IQOOZ10Turbo＋  5G(16+512)沙漠色,-,-,IQOO Z10 Turbo+ 全网通5G 16GB+512GB 沙漠色
IQOOZ10Turbo＋  5G(16+512)极地灰,-,-,IQOO Z10 Turbo+ 全网通5G 16GB+512GB 极地灰
IQOOZ10Turbo＋  5G(16+256)沙漠色,-,-,IQOO Z10 Turbo+ 全网通5G 16GB+256GB 沙漠色
IQOOZ10Turbo＋  5G(12+256)极地灰,-,-,IQOO Z10 Turbo+ 全网通5G 12GB+256GB 极地灰
IQOONeo11 5G(16＋512）疾影黑,-,-,iQOO Neo11 全网通5G 16GB+512GB 疾影黑
iQOO15  5G(16+512)传奇版,-,-,iQOO 15 全网通5G 16GB+512GB 传奇版
iQOO15  5G(16+1T)凌云,-,-,iQOO 15 全网通5G 16GB+1TB 凌云
2025版ipad第11代（A16 A3354)128GWIFI银色,檀木健发梳,-,Apple iPad 2025款/第11代 11英寸 WiFi版 128GB 银色
2025版ipad第11代（A16 A3354)256GWIFI银色,檀木健发梳,-,Apple iPad 2025款/第11代 11英寸 WiFi版 256GB 银色
2025版ipad第11代（A16 A3354)256GWIFI蓝色,檀木健发梳,-,Apple iPad 2025款/第11代 11英寸 WiFi版 256GB 蓝色
2024版ipad Air6 11寸(A2902)128GWifi灰,-,-,Apple iPad Air 2024款 11英寸 WiFi版 128GB 深空灰色
2025版ipad Air7 11寸 (A3266)128GWifi星光色,-,-,Apple iPad Air 2025款/第7代 11英寸 WiFi版 128GB 星光色
2025版ipad Air7 11寸 (A3266)128GWifi深空灰,-,-,Apple iPad Air 2025款/第7代 11英寸 WiFi版 128GB 深空灰色
2025版ipad Air7 11寸 (A3266)256GWifi星光色,-,-,Apple iPad Air 2025款/第7代 11英寸 WiFi版 256GB 星光色
2025版ipad Air7 11寸 (A3266)256GWifi深空灰,-,-,Apple iPad Air 2025款/第7代 11英寸 WiFi版 256GB 深空灰色
2022款华为Matebook E Go性能版 GK-G76 (高通骁龙8cx Gen 3) 16+512演示机雪域白+雪域白,-,-,华为 MateBook E Go 骁龙8cx Gen2 16GB+512GB 性能版 雪域白键盘
华为Nova FlipS(PSD-AL80)12+512零度白,-,-,华为 nova Flip S 全网通 512GB 零度白
华为Nova FlipS(PSD-AL80)12+512樱语粉,-,-,华为 nova Flip S 全网通 512GB 樱语粉
华为Pura80Pro+ LMR-AL10 16+512釉红,-,-,华为 Pura 80 Pro+ 全网通 16GB+512GB 釉红
Watch5 RTS-AL00 46mm 苍穹黑 氟橡胶表带苍穹黑,Xiaomi Watch 5 智能手表,-,华为 WATCH 5 智能手表 46mm 不锈钢 苍穹黑 氟橡胶表带
华为WatchD2(LCA-B11)腕部心电血压记录仪 演示机晨曦金＋白色复合素皮,-,-,华为 WATCH D2 腕部动态血压记录仪 晨曦金铝合金表壳 白色复合素皮表带 [LCA-B10]
苹果15plus（A3096）256G粉色,-,-,iPhone 15 Plus 全网通5G版 256GB 粉色
苹果16Plus（A3291) 128G白色,-,-,iPhone 16 plus 全网通5G 128GB 白色
苹果16Plus（A3291) 256G白色,-,-,iPhone 16 plus 全网通5G 256GB 白色
苹果16Pro（A3294)128G白色钛金属,-,-,iPhone 16 pro 全网通5G 128GB 白色钛金属
苹果16Pro（A3294)512G黑色钛金属,-,-,iPhone 16 pro 全网通5G 512GB 黑色钛金属
苹果16Pro（A3294)512G沙漠色钛金属,-,-,iPhone 16 pro 全网通5G 512GB 沙漠色钛金属
苹果16ProMax（A3297) 512G沙漠色钛金属,-,-,iPhone 16 Pro Max权益版 全网通5G 512GB  沙漠色钛金属
苹果16e（A3410) 256G白色,-,-,iPhone 16e 全网通5G 256GB 白色
苹果17（A3521)256G青雾蓝色,-,-,iPhone 17 全网通5G 256GB 青雾蓝色
华为WatchD2(LCA-B11)腕部心电血压记录仪 演示机晨曦金+白色复合素皮,-,-,华为 WATCH D2 腕部动态血压记录仪 晨曦金铝合金表壳 白色复合素皮表带 [LCA-B10]
苹果17（A3521)256G鼠尾草绿色,-,-,iPhone 17 全网通5G 256GB 鼠尾草绿色
苹果17promax（A3527)256G银色,-,-,iPhone 17 Pro Max 全网通5G 256GB 银色
苹果17promax（A3527)256G深蓝色,-,-,iPhone 17 Pro Max 全网通5G 256GB 深蓝色
苹果17promax（A3527)256G星宇橙色,-,-,iPhone 17 Pro Max 全网通5G 256GB 星宇橙色
苹果17promax（A3527)512G银色,-,-,iPhone 17 Pro Max 全网通5G 512GB 银色
苹果17promax（A3527)512G星宇橙色,-,-,iPhone 17 Pro Max 全网通5G 512GB 星宇橙色
苹果17promax（A3527)512G深蓝色,-,-,iPhone 17 Pro Max 全网通5G 512GB 深蓝色
苹果17pro（A3524)256G深蓝色,-,-,iPhone 17 Pro 全网通5G 256GB 深蓝色
苹果17pro（A3524)256G星宇橙色,-,-,iPhone 17 Pro 全网通5G 256GB 星宇橙色
苹果17pro（A3524)256G银色,-,-,iPhone 17 Pro 全网通5G 256GB 银色
苹果17pro（A3524)512G星宇橙色,-,-,iPhone 17 Pro 全网通5G 512GB 星宇橙色
苹果17pro（A3524)512G银色,-,-,iPhone 17 Pro 全网通5G 512GB 银色
苹果17pro（A3524)1TG深蓝色,-,-,iPhone 17 Pro 全网通5G 1TB 深蓝色
苹果17pro（A3524)1TG银色,-,-,iPhone 17 Pro 全网通5G 1TB 银色
苹果17promax（A3527)1T星宇橙色,-,-,iPhone 17 Pro Max 全网通5G 1TB 星宇橙色
苹果17promax（A3527)1T银色,-,-,iPhone 17 Pro Max 全网通5G 1TB 银色
优品二手机苹果11Pro 256G绿,檀木健发梳,-,#N/A
优品二手机苹果13Pro 128G金,檀木健发梳,-,iPhone 13 Pro 全网通5G 128GB 金色
优品二手机苹果12 128G白,檀木健发梳,-,iPhone 12 全网通5G 128GB 白色
华为WatchD2 (LCA-B11)腕部心电血压记录仪幻夜黑,-,-,华为 WATCH D2 腕部动态血压记录仪 幻夜黑铝合金表壳 黑色氟橡胶表带 [LCA-B10]
优品二手机苹果13ProMax 256G蓝,檀木健发梳,-,iPhone 13 Pro Max 全网通5G 256GB 远峰蓝色
优品二手机苹果12Promax 256G黑,檀木健发梳,-,iPhone 12 Pro Max 全网通5G 256GB 石墨色
优品二手机苹果12Promax 256G蓝,檀木健发梳,-,iPhone 12 Pro Max 全网通5G 256GB 海蓝色
优品二手机苹果8plus 64G黑,檀木健发梳,-,iPhone 8 Plus 全网通 64G 深空灰色
优品二手机苹果XR 128G红,檀木健发梳,-,iPhone XR 全网通 128G 红色
优品二手机苹果XR 128G黑,檀木健发梳,-,iPhone XR 全网通 128G 黑色
华为WatchD2(LCA-B11)腕部心电血压记录仪 演示机幻夜黑＋黑色氟橡胶,-,-,华为 WATCH D2 腕部动态血压记录仪 幻夜黑铝合金表壳 黑色氟橡胶表带 [LCA-B10]
华为WatchD2(LCA-B11)腕部心电血压记录仪 演示机幻夜黑+黑色氟橡胶,-,-,华为 WATCH D2 腕部动态血压记录仪 幻夜黑铝合金表壳 黑色氟橡胶表带 [LCA-B10]
华为WatchGT6Pro 46mm （ATM-B29）钛色钛金属表带曜石黑,-,-,华为 WATCH GT 6 Pro 智能手表 46mm 钛空银 钛色钛金属表带
优品二手机苹果12Pro 256G蓝,檀木健发梳,-,iPhone 12 Pro 全网通5G 256GB 海蓝色
华为WatchGT6Pro 46mm （ATM-B29）黑色氟橡胶表带钛空银,-,-,华为 WATCH GT 6 Pro 智能手表 46mm 曜石黑 黑色氟橡胶表带
华为智慧屏SPRO65"120HZ（HD65KANS)3+32G演示机星际黑（汇通）,-,-,华为 智慧屏S系列（旧版） S Pro 65 3GB+32GB 星际黑
优品二手机苹果IPAD6 128G金,檀木健发梳,-,Apple iPad 2020款 10.2英寸 128GB 金色
华为智慧屏SPRO65"120HZ（HD65KANS)3+32G演示机星际黑（新时代）,-,-,华为 智慧屏S系列（旧版） S Pro 65 3GB+32GB 星际黑
优品二手机苹果13 256G白,檀木健发梳,-,iPhone 13 全网通5G 256GB 星光色
2026款华为MatePad鸿蒙 11.5 (TXZ-W10) 8+128海岛蓝,-,-,华为平板 MatePad 2026款 （TXZ-W10）11.5英寸 WIFI版 8GB+128GB 海岛蓝
优品二手机苹果12 256G黑,檀木健发梳,-,iPhone 12 全网通5G 256GB 黑色
2026款华为MatePad鸿蒙 11.5 (TXZ-W10) 8+128深空灰,-,-,华为平板 MatePad 2026款 （TXZ-W10）11.5英寸 WIFI版 8GB+128GB 深空灰
优品二手机苹果13Pro256G蓝,檀木健发梳,-,iPhone 13 Pro 全网通5G 256GB 远峰蓝色
优品二手机苹果14 128G黑,檀木健发梳,-,iPhone 14 全网通5G版 128GB 午夜色
2026款华为MatePad鸿蒙 11.5柔光版 (TXZ-W20) 12+256海岛蓝,-,-,华为平板 MatePad 2026款 柔光版（TXZ-W20）11.5英寸 WIFI版 12GB+256GB 海岛蓝
2026款华为MatePad 11.5柔光版（TXZ-W20)8+128演示机海岛蓝,-,-,华为平板 MatePad 2026款 柔光版（TXZ-W20）11.5英寸 WIFI版 8GB+128GB 海岛蓝
2026款华为MatePad 11.5柔光版（TXZ-W20)8+128演示机海岛蓝+样机,-,-,华为平板 MatePad 2026款 柔光版（TXZ-W20）11.5英寸 WIFI版 8GB+128GB 海岛蓝
优品二手机苹果14Promax 128紫,檀木健发梳,-,iPhone 14 Pro Max 全网通5G版 128GB 暗紫色
2026款华为MatePad鸿蒙 11.5柔光版 (TXZ-W20) 8+128深空灰,-,-,华为平板 MatePad 2026款 柔光版（TXZ-W20）11.5英寸 WIFI版 8GB+128GB 深空灰
优品二手机苹果14Promax 256G紫,檀木健发梳,-,iPhone 14 Pro Max 全网通5G版 256GB 暗紫色
优品二手机苹果14Promax 256G金,檀木健发梳,-,iPhone 14 Pro Max 全网通5G版 256GB 金色
优品二手机苹果14Promax 256G银,檀木健发梳,-,iPhone 14 Pro Max 全网通5G版 256GB 银色
优品二手机苹果14Promax 256G黑,檀木健发梳,-,iPhone 14 Pro Max 全网通5G版 256GB 深空黑色
优品二手机苹果14 256G白,檀木健发梳,-,iPhone 14 全网通5G版 256GB 星光色
优品二手机苹果14 256G黑,檀木健发梳,-,iPhone 14 全网通5G版 256GB 午夜色
优品二手机苹果 Pencil笔,檀木健发梳,-,Apple Pencil (USB-C) 白色
2026款华为MatePad鸿蒙 11.5柔光版 (TXZ-W20) 8+256海岛蓝,-,-,华为平板 MatePad 2026款 柔光版（TXZ-W20）11.5英寸 WIFI版 8GB+256GB 海岛蓝
优品二手机苹果15ProMax 256黑,檀木健发梳,-,iPhone 15 Pro Max 全网通5G版 256GB 黑色钛金属
优品二手机苹果15ProMax 256白,檀木健发梳,-,iPhone 15 Pro Max 全网通5G版 256GB 白色钛金属
优品二手机苹果15ProMax 256原,檀木健发梳,-,iPhone 15 Pro Max 全网通5G版 256GB 原色钛金属
优品二手机苹果15ProMax 256蓝,檀木健发梳,-,iPhone 15 Pro Max 全网通5G版 256GB 蓝色钛金属
优品二手机苹果15 256G蓝,檀木健发梳,-,iPhone 15 全网通5G版 256GB 蓝色
优品二手机苹果15ProMax 512白,檀木健发梳,-,iPhone 15 Pro Max 全网通5G版 512GB 白色钛金属
优品二手机苹果15ProMax 512原,檀木健发梳,-,iPhone 15 Pro Max 全网通5G版 512GB 原色钛金属
优品二手机苹果15Pro 256蓝,檀木健发梳,-,iPhone 15 Pro 全网通5G版 256GB 蓝色钛金属
优品二手机苹果MACBOOK Air M2 8+256黑,檀木健发梳,-,苹果 MacBook Air M2版 13.6英寸 M2 8GB 256GB固态 8核集显 午夜色
优品二手机苹果15Plus 256G蓝,檀木健发梳,-,iPhone 15 Plus 全网通5G版 256GB 蓝色
优品二手机苹果14Plus 256白,檀木健发梳,-,iPhone 14 Plus 全网通5G版 256GB 星光色
优品二手机苹果16Promax 256G白,檀木健发梳,-,iPhone 16 pro Max 全网通5G 256GB 白色钛金属
优品二手机苹果16Promax 256G原,檀木健发梳,-,iPhone 16 pro Max 全网通5G 256GB 原色钛金属
优品二手机苹果手表 S8 41mm 蜂窝版星光,-,-,苹果 Apple Watch Series 8 铝金属系列 GPS+蜂窝数据版 41毫米 星光色铝金属表壳 星光色运动型表带 [MNJ03CH/A]
优品二手机苹果16Pro 256G金,檀木健发梳,-,iPhone 16 pro 全网通5G 256GB 沙漠色钛金属
优品二手机苹果16Pro 256G白,檀木健发梳,-,iPhone 16 pro 全网通5G 256GB 白色钛金属
优品二手机华为手表GT2 46mm运动版黑,檀木健发梳,-,
优品二手机华为P40pro 8+128灰,檀木健发梳,-,
2026款华为MatePad鸿蒙 11.5柔光版 (TXZ-W20) 8+256深空灰,-,-,
华为手环10(NOR-B19)聚合纤维表壳标准版羽砂黑,-,-,
优品二手机华为NOVA4 8+128红,檀木健发梳,-,
优品二手机华为畅享20SE 8+128黑,檀木健发梳,-,
2025款华为智慧屏 MateTV 65英寸 8+128  深空灰演示机深空灰,-,-,
优品二手机华为P50Pocket 4G 8+256黑,檀木健发梳,-,
优品二手机华为Mate30Pro 5G 8+256银,檀木健发梳,-,
优品二手机华为Mate40 RS 8+256黑,檀木健发梳,-,
2025款华为智慧屏S6Pro 85"（HD8XAJMS)4+128G曜石灰,-,-,
优品二手机华为Mate50 8+256黑,檀木健发梳,-,
2025款苹果手表SE3 40mm（A3391）GPS版样品星光色＋星光色运动表带M/L,-,-,
优品二手机华为watch4 时尚版银,檀木健发梳,-,
苹果S10 运动版（A3000）46mm手表银色+丹宁运动表带M/L,-,-,
苹果S10 运动版（A3000）46mm手表银色＋单宁色表带S/M,-,-,
苹果S11 运动版 GPS 42mm(A3450)亮黑色+黑色M/L,-,-,
优品二手机华为Nova11 8+512黑,檀木健发梳,-,
苹果S11 运动版 GPS 46mm(A3451）亮黑色+黑色运动表带M/L,-,-,
苹果S11 运动版 GPS 46mm(A3451）深空灰+黑色,-,-,
苹果S11 运动型(A3451) GPS版本46mm样品深空灰＋黑色运动表带M/L,-,-,
优品二手机华为MATE70 12+512白,檀木健发梳,-,
优品二手机华为FreeClip耳机金,檀木健发梳,-,
优品二手机华为watch GT2 46mm黑,檀木健发梳,-,
苹果S11 运动版 GPS 46mm(A3451）银色+紫色,-,-,
荣耀X70i(ABR-AN00)12+256AI版绒黑色,荣耀X70i AI版,荣耀X70i AI版 全网通5G 12GB+256GB 绒黑色,
荣耀畅玩60A 5G(NIA-AN00)6+128碧空蓝,-,-,
荣耀畅玩60A 5G(NIA-AN00)6+128海湖青,-,-,
荣耀畅玩60A 5G(NIA-AN00)6+128墨岩黑,-,-,
优品二手机华为Nova12 8+256黑,檀木健发梳,-,
优品二手机华为MateX7 16+512黑,檀木健发梳,-,
荣耀手表X5 Link 皮革表带（LWS-WB10）演示机幻夜黑,荣耀手表 X5,荣耀手表 X5 幻夜黑,
荣耀手表FIT雅致版（IVY-B39)演示机单宁蓝+牛仔布纹皮表带,-,-,
一加ACE6T 5G(16+256)掠影绿,-,-,
优品二手机欧珀FindN3 Filp 12+256粉,-,-,
一加ACE6T 5G(16+256)闪速黑,-,-,
优品二手机苹果11 128G黑,檀木健发梳,-,
优品二手机小米14 12+256绿,-,-,
优品二手机红米Note15pro+ 16+512黑,-,-,
优品二手机 IQOOZ3 8+256黑,-,-,
优品二手机VIVO S7 8+128黑,-,-,
优品二手机苹果X 256G银,檀木健发梳,-,
优品二手机VIVO XFLiP 12+512紫,VIVO X Flip,-,
优品二手Vivo Y5s 6+128G蓝,vivo Y5s,vivo Y5s 全网通5G版 6GB+128GB 流光银,
优品二手机VIVO S9e 8+256蓝,vivo S9e,-,
优品二手机荣耀20Pro 8+256黑,-,-,
优品二手机荣耀30青春 8+128蓝,-,-,
优品二手机荣耀Magic3至臻版 12+512黑,荣耀Magic3 至臻版,荣耀Magic3 至臻版 全网通5G版 12GB+512GB 陶瓷黑,
优品二手机荣耀70 12+256绿,-,-,
优品二手机荣耀70 12+256青,-,-,
优品二手机荣耀X50 16+512黑,荣耀X50,荣耀X50 全网通5G版 16GB+512GB 典雅黑,
优品二手机苹果13 128G白,檀木健发梳,-,
优品二手机荣耀90 Pro 16+256黑,-,-,
优品二手机苹果13 128G黑,檀木健发梳,-,
优品二手机荣耀400Pro 12+512蓝,-,-,
优品二手机荣耀X60 12+512青,荣耀X60,荣耀X60 全网通5G 12GB+512GB 典雅黑,
优品二手机苹果IPAD AIR2 64G金,檀木健发梳,-,
优品二手机苹果11PRO Max 64G绿,檀木健发梳,-,
优品二手机三星Z Fold4(12G+256G)黑,三星Z Fold4机模,-,
优品二手机苹果IPAD8 128G金,檀木健发梳,-,
报废机,檀木健发梳,-,
巨豆豆S866 4G全网通红色,-,-,
巨豆豆S866 4G全网通黑色,-,-,
巨豆豆S738翻盖 4G全网通红色,-,-,
巨豆豆S738翻盖 4G全网通黑色,-,-,
一加ACE6 5G(12+512)闪白,-,-,
一加ACE6 5G(12+512)竞黑,-,-,
一加ACE6 5G(16+512)闪白,-,-,
一加ACE6 5G(16+512)竞黑,-,-,
一加ACE6 5G(16+512)快银,-,-,
一加ACE6T 5G(16+512)掠影绿,-,-,
一加ACE6T 5G(16+512)电光紫,-,-,
一加ACE6T 5G(16+512)闪速黑,-,-,
优品二手机苹果12 256G蓝,檀木健发梳,-,
优品二手机苹果7 32G黑,檀木健发梳,-,
一加ACE5至尊版 5G(12+512)燃力钛,-,-,
一加15 5G(16+512)雾光紫,檀木健发梳,-,
一加15 5G(16+512)原色沙丘,檀木健发梳,-,
一加15 5G(16+256)原色沙丘,檀木健发梳,-,
优品二手机苹果6 32G黑,檀木健发梳,-,
欧珀WatchS (OWW262)演示机竞速黑,檀木健发梳,-,
欧珀WatchS (OWW262)演示机跃动绿茵,檀木健发梳,-,
欧珀Watch X2演示机千峰蔚蓝,OPPO Watch X2 Mini 全智能手表,-,
欧珀Watch X2Mini演示机皓月银,-,-,
欧珀Watch X2Mini演示机明日金,-,-,
欧珀平板Pad4pro 12+256 wifi版演示机深空灰,-,-,
欧珀平板Pad4pro 12+256 wifi版演示机晨曦微光,-,-,
欧珀平板Padse柔光版 8+256 wifi版演示机夜幕蓝,檀木健发梳,-,
欧珀平板Pad5 柔光版12+256 wifi版演示机幸运紫,赠品 OPPO Pad 5 孙颍莎定制限定立牌,赠品 OPPO Pad 5 孙颍莎定制限定立牌 紫色,
欧珀A5Pro 5G(12+512)演示机砂岩紫,OPPO A5 Pro,OPPO A5 Pro 全网通5G版 12GB+512GB 砂岩紫,
欧珀A5活力版 5G(12+256)演示机玛瑙粉,OPPO A5,OPPO A5 全网通5G版 12GB+256GB 晶钻粉,
欧珀A5活力版 5G(12+256)演示机玉石绿,OPPO A5,OPPO A5 全网通5G版 12GB+256GB 锆石黑,
OPPOA5X 5G(8+256)演示机水晶粉,-,-,
欧珀A6Pro 5G(16+256)演示机流水生金,OPPO A6 Pro,OPPO A6 Pro 全网通5G版 16GB+256GB 流水生金,
